Time_stamp,Original_load_kw,Net_load_w_ESS_kw,ESS_injection_kw
2017-01-01T000000,293.851129,285.922029,-7.92909998
2017-01-01T001500,294.0783066,287.0800573,-6.998249324
2017-01-01T003000,296.6186716,282.6794922,-13.93917938
2017-01-01T004500,298.8084835,287.1424314,-11.66605207
2017-01-01T010000,297.7319432,288.4281311,-9.303812087
2017-01-01T011500,290.0837801,287.2940946,-2.789685457
2017-01-01T013000,288,284.6407823,-3.359217662
2017-01-01T014500,294.4,289.2257342,-5.174265799
2017-01-01T020000,286.4,287.6630134,1.263013377
2017-01-01T021500,273.6,279.4102357,5.810235695
2017-01-01T023000,280,286.6196914,6.619691351
2017-01-01T024500,288,288.3481501,0.348150106
2017-01-01T030000,278.4,288.6965979,10.29659788
2017-01-01T031500,278.4,286.9726769,8.57267692
2017-01-01T033000,288.1885855,294.7365451,6.54795959
2017-01-01T034500,283.2,287.8034911,4.603491085
2017-01-01T040000,278.4,289.2587792,10.8587792
2017-01-01T041500,262.4,282.1243532,19.72435324
2017-01-01T043000,273.6,295.7096472,22.10964719
2017-01-01T044500,275.2,295.4787661,20.27876607
2017-01-01T050000,262.4,290.1713455,27.77134548
2017-01-01T051500,267.2,296.7987163,29.59871628
2017-01-01T053000,265.6,293.994536,28.39453605
2017-01-01T054500,268.8,294.8696077,26.06960768
2017-01-01T060000,267.2,295.3970847,28.19708468
2017-01-01T061500,254.4,287.2030574,32.80305738
2017-01-01T063000,251.2,284.4998132,33.29981321
2017-01-01T064500,257.6,293.496322,35.89632203
2017-01-01T070000,251.2,289.3931653,38.1931653
2017-01-01T071500,257.6,293.0241423,35.42414229
2017-01-01T073000,288,303.8763351,15.87633509
2017-01-01T074500,293.0876988,297.6915515,4.603852674
2017-01-01T080000,295.0290301,288.375948,-6.653082115
2017-01-01T081500,300.8999466,294.9464127,-5.95353391
2017-01-01T083000,273.6,274.0035787,0.403578663
2017-01-01T084500,264.9039284,265.3046988,0.400770397
2017-01-01T090000,230.2258475,230.6266179,0.400770397
2017-01-01T091500,236.7421163,237.1428867,0.400770397
2017-01-01T093000,233.8358057,234.2365761,0.400770397
2017-01-01T094500,230.4,230.80129,0.401289962
2017-01-01T100000,238.4665735,238.8806856,0.414112092
2017-01-01T101500,223.2866753,223.7007874,0.414112092
2017-01-01T103000,234.6442107,235.0583228,0.414112092
2017-01-01T104500,228.8377592,229.2518713,0.414112092
2017-01-01T110000,225.7812408,226.1953529,0.414112092
2017-01-01T111500,234.5182364,234.9433925,0.425156085
2017-01-01T113000,227.5270392,227.958676,0.431636792
2017-01-01T114500,235.922893,236.3508314,0.427938446
2017-01-01T120000,227.2,227.6318129,0.431812903
2017-01-01T121500,230.4,230.8797921,0.479792115
2017-01-01T123000,232,232.4797921,0.479792115
2017-01-01T124500,225.6,226.0797921,0.479792115
2017-01-01T130000,254.4,254.860416,0.460416043
2017-01-01T131500,254.4,254.9019597,0.501959706
2017-01-01T133000,254.4,254.8795774,0.479577383
2017-01-01T134500,262.4,262.8800501,0.48005007
2017-01-01T140000,246.4,246.8850152,0.485015211
2017-01-01T141500,246.4,246.8789863,0.478986331
2017-01-01T143000,246.4,246.7918979,0.391897907
2017-01-01T144500,262.4,262.7918979,0.391897907
2017-01-01T150000,251.2,251.5918979,0.391897907
2017-01-01T151500,259.2,259.5918979,0.391897907
2017-01-01T153000,257.6,257.9918979,0.391897907
2017-01-01T154500,264,264.3918979,0.391897907
2017-01-01T160000,259.2,259.5918979,0.391897907
2017-01-01T161500,252.8,253.1918979,0.391897907
2017-01-01T163000,260.8,261.1918979,0.391897907
2017-01-01T164500,260.8,261.0612653,0.261265272
2017-01-01T170000,264,264.2612653,0.261265272
2017-01-01T171500,259.2,258.4220342,-0.777965847
2017-01-01T173000,272,268.5161396,-3.483860423
